player,difference_in_salary,estimated_salary,actual_salary
Evan Fournier,-7134500.16408224,9865499.83591776,1.7E+07
Evan Turner,-10153350.459862,6977797.54013799,17131148
Frank Kaminsky,3836859.39496757,6684459.39496757,2847600
Frank Ntilikina,128069.790208541,3629189.79020854,3501120
Fred VanVleet,4249659.43179964,5562270.43179964,1312611
Furkan Korkmaz,409547.628107354,1875467.62810735,1465920
Garrett Temple,-4546926.6278715,3453073.3721285,8E+06
Gary Harris,6450362.94379444,9000417.94379444,2550055
George Hill,-12028940.403225,7971059.59677503,2E+07
Georgios Papagiannis,-873144.501197705,1428215.4988023,2301360
Georgios Papagiannis,1168659.4988023,1428215.4988023,259556
Gerald Green,5830992.65089289,6703846.65089289,872854
Giannis Antetokounmpo,-7816333.68802758,14655576.3119724,22471910
Glenn Robinson III,604667.543280742,2128972.54328074,1524305
Goran Dragic,-6751249.16854394,10249200.8314561,17000450
Gordon Hayward,-19423093.848561,10304806.151439,29727900
Gorgui Dieng,-8929792.49425686,5182567.50574314,14112360
Greg Monroe,-6748317.54690781,9635857.45309219,16384175
Greg Monroe,4635857.45309219,9635857.45309219,5E+06
Guerschon Yabusele,-2187493.64912413,59986.3508758682,2247480
Harrison Barnes,-13037403.2802723,10074600.7197277,23112004
Hassan Whiteside,-13769715.0577242,10005790.9422758,23775506
Henry Ellenson,147213.019513285,1928013.01951329,1780800
Ian Clark,1883923.03854925,3355305.03854925,1471382
Ian Mahinmi,-13829404.5133027,2832236.48669734,16661641
Ike Anigbogu,-2294619.17607493,-1344619.17607493,950000
Iman Shumpert,-5914702.26632323,4422376.73367677,10337079
Isaiah Canaan,5218221.256223,5418221.256223,2E+05
Isaiah Canaan,5364756.256223,5418221.256223,53465
Isaiah Canaan,4420674.256223,5418221.256223,997547
Isaiah Taylor,2521663.44706444,3834274.44706444,1312611
Isaiah Thomas,8187889.10429262,14449284.1042926,6261395
Isaiah Whitehead,3602571.3504226,4915182.3504226,1312611
Ish Smith,-1138019.60964413,4861980.39035587,6E+06
Ivan Rabb,2213193.17682383,3163193.17682383,950000
Ivica Zubac,3171789.17961701,4484400.17961701,1312611
J.J. Barea,1998564.24577857,5902464.24577857,3903900
Jabari Parker,4607035.59067558,11389427.5906756,6782392
Jae Crowder,-317265.780856725,6478851.21914328,6796117
Jahlil Okafor,3292151.62354958,8287271.62354958,4995120
Jake Layman,876480.735226247,2189091.73522625,1312611
Jakob Poeltl,460394.058829622,3286034.05882962,2825640
Jamal Crawford,-228251.861355234,10714510.1386448,10942762
Jamal Crawford,6386510.13864477,10714510.1386448,4328000
Jamal Murray,7544188.4103329,10899508.4103329,3355320
Jameel Warney,2648066.13184138,2694146.13184138,46080
Jameer Nelson,6650957.05207601,8080775.05207601,1429818
Jameer Nelson,3344725.05207601,8080775.05207601,4736050
James Harden,-9028176.60131271,19271222.3986873,28299399
James Johnson,-8762491.41345434,5191508.58654566,13954000
JaMychal Green,-2889560.21667481,5643772.78332519,8533333
Jared Dudley,-5304645.42553725,4695354.57446275,1E+07
Jarell Eddie,-461069.724552081,-360716.724552081,100353
Jarell Eddie,-443845.724552081,-360716.724552081,83129
Jarell Martin,1644687.417667,3116069.417667,1471382
Jarrett Allen,5070539.72809713,6784259.72809713,1713720
Jarrett Jack,6087901.60216103,7559283.60216103,1471382
Jason Smith,-1502401.95737078,3722598.04262922,5225000
Jason Terry,8340108.48521915,9811490.48521915,1471382
JaVale McGee,3948159.35833476,5419541.35833476,1471382
Jawun Evans,1103042.99691919,1918657.99691919,815615
Jaylen Brown,3196561.18074686,8153041.18074686,4956480
Jaylen Morris,1406328.38605904,1599864.38605904,193536
Jayson Tatum,5439684.09924441,11085084.0992444,5645400
Jeff Green,7650507.87982609,9767462.87982609,2116955
Jeff Teague,-9827891.75321629,9172108.24678371,1.9E+07
Jeff Withey,-233023.226006477,1344296.77399352,1577320
Jerami Grant,4525185.63056349,6049490.63056349,1524305
Jeremy Evans,2696719.85255324,2829848.85255324,133129
Jeremy Lamb,178417.220038687,7178417.22003869,7E+06
Jeremy Lin,-4424637.41399768,7575362.58600232,1.2E+07
Jerian Grant,1942431.14488001,3656271.14488001,1713840
Jerryd Bayless,-3363135.46636842,5636864.53363158,9E+06
Jimmy Butler,-6503967.31824851,12797102.6817515,19301070
Joakim Noah,-11248111.3756503,6516888.62434969,17765000
Jodie Meeks,2973199.41395707,6263199.41395707,3290000
Joe Harris,5005231.20266759,6529536.20266759,1524305
Joe Ingles,-8881039.32348196,5255324.67651804,14136364
Joe Johnson,11712630.7839,12186465.7839,473835
Joe Johnson,2681465.7839,12186465.7839,9505000
Joe Young,-142034.52791927,1329347.47208073,1471382
Joel Embiid,13442766.2703265,19543032.2703265,6100266
