"","player","season.x","DRAYMOND","X_id","salary","season.y","season_end","season_start","team","career_AST","career_FG%","career_PTS","position"
"248","Josh Jackson","2018",-1.028236,"jacksjo02",5090040,"2017-18",2018,2017,"Phoenix Suns",1.9,"41.5",12.3,"Small Forward and Shooting Guard"
"249","Josh McRoberts","2018",-16.72105,"mcrobjo01",6021175,"2017-18",2018,2017,"Dallas Mavericks",2.1,"46.3",5.4,"Center and Power Forward"
"250","Josh Richardson","2018",1.905597,"richajo01",1471382,"2017-18",2018,2017,"Miami Heat",2.9,"42.5",12.1,"Shooting Guard and Small Forward"
"251","Josh Smith","2018",0.3151102,"smithjo03",210500,"2017-18",2018,2017,"New Orleans Pelicans",3.1,"45.2",14.5,"Small Forward and Power Forward"
"252","Josh Smith","2018",0.3151102,"smithjo03",5331729,"2017-18",2018,2017,"Detroit Pistons",3.1,"45.2",14.5,"Small Forward and Power Forward"
"253","Jrue Holiday","2018",1.585426,"holidjr01",25686667,"2017-18",2018,2017,"New Orleans Pelicans",6.4,"45.2",15.6,"Point Guard and Shooting Guard"
"254","Julius Randle","2018",0.1886959,"randlju01",4149242,"2017-18",2018,2017,"Los Angeles Lakers",2.7,"50.2",15.4,"Power Forward and Center"
"255","Julyan Stone","2018",3.165525,"stoneju01",1524305,"2017-18",2018,2017,"Charlotte Hornets",1.1,"44.4",1.1,"Point Guard and Shooting Guard"
"256","Justin Anderson","2018",1.034771,"anderju01",1579440,"2017-18",2018,2017,"Philadelphia 76ers",0.7,"41.9",5.3,"Small Forward"
"257","Justin Holiday","2018",0.6741848,"holidju01",4615385,"2017-18",2018,2017,"Chicago Bulls",1.5,"39.0",8.1,"Shooting Guard"
"258","Justin Jackson","2018",-0.7427453,"jacksju01",2365560,"2017-18",2018,2017,"Sacramento Kings",1.1,"44.5",7,"Small Forward"
"259","Justin Patton","2018",-2.493646,"pattoju01",2247480,"2017-18",2018,2017,"Minnesota Timberwolves",0.8,"33.3",1.8,"Center"
"260","Justise Winslow","2018",1.705314,"winslju01",2705040,"2017-18",2018,2017,"Miami Heat",2.7,"41.9",8.9,"Power Forward and Small Forward"
"261","Jusuf Nurkic","2018",0.3669162,"nurkiju01",2947305,"2017-18",2018,2017,"Portland Trail Blazers",1.9,"49.1",11.6,"Center"
"262","Karl-Anthony Towns","2018",-0.0200618,"townska01",6216840,"2017-18",2018,2017,"Minnesota Timberwolves",2.6,"53.7",22.3,"Center"
"263","Kawhi Leonard","2018",2.5306,"leonaka01",18868625,"2017-18",2018,2017,"San Antonio Spurs",2.4,"49.5",17.7,"Small Forward"
"264","Kelly Olynyk","2018",-0.2278402,"olynyke01",10607169,"2017-18",2018,2017,"Miami Heat",1.9,"47.8",9.9,"Center and Power Forward"
"265","Kelly Oubre Jr.","2018",-1.718196,"oubreke01",2093040,"2017-18",2018,2017,"Washington Wizards",0.8,"42.4",9.4,"Small Forward"
"266","Kemba Walker","2018",1.331579,"walkeke02",1.2e+07,"2017-18",2018,2017,"Charlotte Hornets",5.5,"41.8",19.8,"Point Guard"
"267","Kendrick Perkins","2018",-3.911196,"perkike01",13156,"2017-18",2018,2017,"Cleveland Cavaliers",1,"53.0",5.4,"Center"
