"","player","season.x","DRAYMOND","X_id","salary","season.y","season_end","season_start","team","career_AST","career_FG%","career_PTS","position"
"1","Aaron Brooks","2018",-3.238316,"brookaa01",1471382,"2017-18",2018,2017,"Minnesota Timberwolves",3,"41.3",9.7,"Point Guard"
"2","Aaron Gordon","2018",1.179464,"gordoaa01",5504420,"2017-18",2018,2017,"Orlando Magic",2.2,"45.0",12.5,"Power Forward and Small Forward"
"3","Aaron Harrison","2018",-0.513968,"harriaa01",174571,"2017-18",2018,2017,"Dallas Mavericks",0.5,"26.1",2.3,"Shooting Guard"
"4","Aaron Jackson","2018",-7.791431,"jacksaa01",4608,"2017-18",2018,2017,"Houston Rockets",1,"33.3",8,"Point Guard"
"5","Abdel Nader","2018",-2.305092,"naderab01",1167333,"2017-18",2018,2017,"Boston Celtics",0.4,"38.7",3.6,"Small Forward"
"6","Al Horford","2018",2.735347,"horfoal01",27734405,"2017-18",2018,2017,"Boston Celtics",3.2,"52.5",14.1,"Center"
"7","Al Jefferson","2018",-0.6700933,"jeffeal01",9769821,"2017-18",2018,2017,"Indiana Pacers",1.5,"49.9",15.7,"Power Forward and Center"
"8","Al-Farouq Aminu","2018",0.939367,"aminual01",7319035,"2017-18",2018,2017,"Portland Trail Blazers",1.2,"42.3",7.7,"Power Forward and Small Forward"
"9","Alan Williams","2018",-2.083492,"willial03",6e+06,"2017-18",2018,2017,"Phoenix Suns",0.6,"50.6",6.2,"Power Forward and Center"
"10","Alec Burks","2018",-2.676581,"burksal01",10845506,"2017-18",2018,2017,"Utah Jazz",1.7,"42.3",9.5,"Shooting Guard"
"11","Alex Abrines","2018",-0.6406532,"abrinal01",5725000,"2017-18",2018,2017,"Oklahoma City Thunder",0.5,"38.7",5.3,"Shooting Guard"
"12","Alex Len","2018",0.5535545,"lenal01",4187599,"2017-18",2018,2017,"Phoenix Suns",0.8,"48.7",7.9,"Center"
"13","Alex Poythress","2018",0.9690092,"poythal01",778668,"2017-18",2018,2017,"Indiana Pacers",0.5,"47.2",3.8,"Power Forward"
"14","Alfonzo McKinnie","2018",2.833355,"mckinal01",815615,"2017-18",2018,2017,"Toronto Raptors",0.4,"49.0",4.2,"Small Forward"
"15","Allen Crabbe","2018",0.8271663,"crabbal01",19332500,"2017-18",2018,2017,"Brooklyn Nets",1.2,"42.9",9.5,"Shooting Guard"
"16","Amir Johnson","2018",1.458153,"johnsam01",1.1e+07,"2017-18",2018,2017,"Philadelphia 76ers",1.2,"57.0",7,"Center and Small Forward and Power Forward"
"17","Andre Drummond","2018",-0.0915594,"drumman01",23775506,"2017-18",2018,2017,"Detroit Pistons",1.2,"54.3",14.1,"Center"
"18","Andre Iguodala","2018",0.7089451,"iguodan01",14814815,"2017-18",2018,2017,"Golden State Warriors",4.4,"46.6",12.1,"Small Forward and Shooting Guard"
"19","Andre Ingram","2018",-0.4649389,"ingraan01",13824,"2017-18",2018,2017,"Los Angeles Lakers",1.2,"34.8",4,"Shooting Guard"
"20","Andre Roberson","2018",0.6397376,"roberan03",9259259,"2017-18",2018,2017,"Oklahoma City Thunder",0.9,"48.2",4.6,"Shooting Guard and Small Forward"
"21","Andrew Bogut","2018",1.802759,"bogutan01",1105123,"2017-18",2018,2017,"Los Angeles Lakers",2.2,"53.5",9.6,"Power Forward and Center"
"22","Andrew Harrison","2018",0.4766314,"harrian01",1312611,"2017-18",2018,2017,"Memphis Grizzlies",2.8,"37.3",7,"Point Guard"
"23","Andrew Wiggins","2018",-0.3053623,"wiggian01",7574322,"2017-18",2018,2017,"Minnesota Timberwolves",2.2,"44.0",19.4,"Small Forward"
"24","Ante Zizic","2018",0.5383138,"zizican01",1645200,"2017-18",2018,2017,"Cleveland Cavaliers",0.6,"58.3",6.4,"Center"
"25","Anthony Davis","2018",3.207572,"davisan02",23775506,"2017-18",2018,2017,"New Orleans Pelicans",2.1,"51.7",23.7,"Power Forward and Center"
"26","Anthony Tolliver","2018",1.774496,"tollian01",2e+06,"2017-18",2018,2017,"Sacramento Kings",0.9,"41.8",6.4,"Power Forward and Small Forward"
"27","Anthony Tolliver","2018",1.774496,"tollian01",3290000,"2017-18",2018,2017,"Detroit Pistons",0.9,"41.8",6.4,"Power Forward and Small Forward"
"28","Aron Baynes","2018",2.715094,"baynear01",4328000,"2017-18",2018,2017,"Boston Celtics",0.7,"49.8",5.4,"Center"
"29","Arron Afflalo","2018",0.4262567,"afflaar01",1500000,"2017-18",2018,2017,"Sacramento Kings",1.8,"45.0",10.8,"Shooting Guard and Small Forward"
"30","Arron Afflalo","2018",0.4262567,"afflaar01",1471382,"2017-18",2018,2017,"Orlando Magic",1.8,"45.0",10.8,"Shooting Guard and Small Forward"
"31","Austin Rivers","2018",-0.4428546,"riverau01",11825000,"2017-18",2018,2017,"Los Angeles Clippers",2.4,"41.7",9.2,"Point Guard and Shooting Guard"
"32","Avery Bradley","2018",-0.9791553,"bradlav01",8808989,"2017-18",2018,2017,"Los Angeles Clippers",1.8,"43.6",12,"Point Guard and Shooting Guard"
"33","Bam Adebayo","2018",1.03855,"adebaba01",2490360,"2017-18",2018,2017,"Miami Heat",1.9,"55.0",8,"Center"
"34","Ben McLemore","2018",-2.162794,"mclembe01",5200000,"2017-18",2018,2017,"Memphis Grizzlies",1.1,"41.7",8.8,"Shooting Guard"
"35","Ben Simmons","2018",1.224182,"simmobe01",6168840,"2017-18",2018,2017,"Philadelphia 76ers",7.9,"55.4",16.4,"Point Guard"
"36","Bismack Biyombo","2018",0.7512486,"biyombi01",1.7e+07,"2017-18",2018,2017,"Orlando Magic",0.5,"51.7",4.9,"Center"
"37","Blake Griffin","2018",0.9182305,"griffbl01",29727900,"2017-18",2018,2017,"Detroit Pistons",4.5,"50.2",21.9,"Power Forward"
"38","Boban Marjanovic","2018",1.18208,"marjabo01",7e+06,"2017-18",2018,2017,"Los Angeles Clippers",0.6,"58.3",6.2,"Center"
"39","Bobby Brown","2018",-3.849244,"brownbo02",1230186,"2017-18",2018,2017,"Houston Rockets",1.5,"37.9",4.4,"Point Guard and Shooting Guard"
"40","Bobby Portis","2018",-1.289332,"portibo01",1516320,"2017-18",2018,2017,"Chicago Bulls",1.1,"45.8",10.2,"Power Forward"
"41","Bogdan Bogdanovic","2018",-1.100377,"bogdabo01",9470614,"2017-18",2018,2017,"Sacramento Kings",3.5,"43.1",12.9,"Shooting Guard"
"42","Bojan Bogdanovic","2018",-0.4630767,"bogdabo02",10500000,"2017-18",2018,2017,"Indiana Pacers",1.4,"46.3",13.3,"Small Forward"
"43","Bradley Beal","2018",-0.2539472,"bealbr01",23775506,"2017-18",2018,2017,"Washington Wizards",3.7,"45.2",19.8,"Shooting Guard"
"44","Brandan Wright","2018",0.5897183,"wrighbr03",5179760,"2017-18",2018,2017,"Memphis Grizzlies",0.5,"60.7",7,"Center and Power Forward"
"45","Brandan Wright","2018",0.5897183,"wrighbr03",490461,"2017-18",2018,2017,"Houston Rockets",0.5,"60.7",7,"Center and Power Forward"
"46","Brandon Ingram","2018",0.2755511,"ingrabr01",5519400,"2017-18",2018,2017,"Los Angeles Lakers",2.9,"45.8",13.9,"Small Forward"
"47","Brandon Jennings","2018",-3.180542,"jennibr01",297169,"2017-18",2018,2017,"Milwaukee Bucks",5.7,"38.7",14.1,"Point Guard"
"48","Brandon Paul","2018",-0.3282866,"paulbr01",815615,"2017-18",2018,2017,"San Antonio Spurs",0.6,"43.3",2.3,"Shooting Guard"
"49","Brice Johnson","2018",3.932705,"johnsbr02",1331160,"2017-18",2018,2017,"Memphis Grizzlies",0.1,"44.9",2.2,"Power Forward"
"50","Brook Lopez","2018",1.261595,"lopezbr01",22642350,"2017-18",2018,2017,"Los Angeles Lakers",1.5,"49.8",17.3,"Center"
"51","Bruno Caboclo","2018",4.007223,"cabocbr01",2451225,"2017-18",2018,2017,"Sacramento Kings",0.9,"39.2",4.9,"Small Forward"
"52","Bryn Forbes","2018",-0.0900144,"forbebr01",1312611,"2017-18",2018,2017,"San Antonio Spurs",1.4,"43.7",8.2,"Shooting Guard"
"53","Buddy Hield","2018",-0.6634462,"hieldbu01",3675480,"2017-18",2018,2017,"Sacramento Kings",2,"44.6",14.9,"Shooting Guard"
"54","Caleb Swanigan","2018",-0.7033982,"swanica01",1465920,"2017-18",2018,2017,"Portland Trail Blazers",0.5,"37.2",2.2,"Power Forward"
"55","Cameron Payne","2018",0.7915258,"payneca01",2203440,"2017-18",2018,2017,"Chicago Bulls",2.5,"39.7",6,"Point Guard"
"56","Caris LeVert","2018",-1.074727,"leverca01",1632480,"2017-18",2018,2017,"Brooklyn Nets",3.4,"43.7",11.1,"Small Forward"
"57","Carmelo Anthony","2018",-0.6558207,"anthoca01",26243760,"2017-18",2018,2017,"Oklahoma City Thunder",3,"44.9",24,"Small Forward and Power Forward"
"58","Cedi Osman","2018",0.8367217,"osmande01",2642857,"2017-18",2018,2017,"Cleveland Cavaliers",1.7,"43.7",9,"Small Forward"
"59","Chandler Parsons","2018",-1.82307,"parsoch01",23112004,"2017-18",2018,2017,"Memphis Grizzlies",2.8,"46.2",12.8,"Small Forward"
"60","Channing Frye","2018",-1.635754,"fryech01",7420912,"2017-18",2018,2017,"Los Angeles Lakers",1,"44.0",8.7,"Center and Power Forward"
"61","Cheick Diallo","2018",-1.415527,"diallch01",1312611,"2017-18",2018,2017,"New Orleans Pelicans",0.4,"58.5",5.5,"Power Forward"
"62","Chinanu Onuaku","2018",2.195219,"onuakch01",1312611,"2017-18",2018,2017,"Houston Rockets",0.7,"58.3",3,"Center"
"63","Chris McCullough","2018",2.208067,"mcculch01",1471382,"2017-18",2018,2017,"Washington Wizards",0.3,"42.6",3.3,"Power Forward"
"64","Chris Paul","2018",-0.3848919,"paulch01",24599495,"2017-18",2018,2017,"Houston Rockets",9.7,"46.9",18.5,"Point Guard"
"65","CJ McCollum","2018",0.4851325,"mccolcj01",23962573,"2017-18",2018,2017,"Portland Trail Blazers",2.9,"45.5",17.8,"Shooting Guard"
"66","Clint Capela","2018",1.706621,"capelca01",2334520,"2017-18",2018,2017,"Houston Rockets",0.9,"63.5",12,"Center"
"67","Cody Zeller","2018",1.137861,"zelleco01",12584270,"2017-18",2018,2017,"Charlotte Hornets",1.4,"51.1",8.2,"Center"
"68","Cole Aldrich","2018",-4.73607,"aldrico01",7300000,"2017-18",2018,2017,"Minnesota Timberwolves",0.5,"52.7",3.1,"Center"
"69","Corey Brewer","2018",-1.029878,"breweco01",340829,"2017-18",2018,2017,"Oklahoma City Thunder",1.5,"42.5",8.7,"Shooting Guard and Small Forward"
"70","Corey Brewer","2018",-1.029878,"breweco01",6879366,"2017-18",2018,2017,"Los Angeles Lakers",1.5,"42.5",8.7,"Shooting Guard and Small Forward"
"71","Cory Joseph","2018",-0.0645232,"josepco01",7630000,"2017-18",2018,2017,"Indiana Pacers",2.8,"44.4",6.9,"Point Guard and Shooting Guard"
"72","Courtney Lee","2018",-0.5687613,"leeco01",11747890,"2017-18",2018,2017,"New York Knicks",1.7,"45.0",9.7,"Shooting Guard"
"73","Cristiano Felicio","2018",-1.29207,"feliccr01",7843500,"2017-18",2018,2017,"Chicago Bulls",0.7,"56.8",4.6,"Center"
"74","D.J. Augustin","2018",-1.136894,"augusdj01",7250000,"2017-18",2018,2017,"Orlando Magic",4,"41.3",9.8,"Point Guard"
"75","D.J. Wilson","2018",-4.410955,"wilsodj01",2135040,"2017-18",2018,2017,"Milwaukee Bucks",0.8,"42.3",4.3,"Power Forward"
"76","D'Angelo Russell","2018",-1.861736,"russeda01",5562360,"2017-18",2018,2017,"Brooklyn Nets",5.1,"41.9",16.5,"Point Guard"
"77","Dakari Johnson","2018",2.385035,"johnsda04",815615,"2017-18",2018,2017,"Oklahoma City Thunder",0.3,"56.4",1.8,"Center"
"78","Damian Jones","2018",-1.881086,"jonesda03",1312611,"2017-18",2018,2017,"Golden State Warriors",0.6,"64.3",3.6,"Center"
"79","Damian Lillard","2018",0.7098828,"lillada01",26153057,"2017-18",2018,2017,"Portland Trail Blazers",6.3,"43.4",23.5,"Point Guard"
"80","Damien Wilkins","2018",1.452605,"wilkida02",1016617,"2017-18",2018,2017,"Indiana Pacers",1.4,"42.6",6.2,"Shooting Guard and Small Forward"
"81","Damion Lee","2018",0.9897022,"leeda03",138240,"2017-18",2018,2017,"Atlanta Hawks",0.9,"42.3",6.8,"Shooting Guard"
"82","Damyean Dotson","2018",0.752877,"dotsoda01",1100000,"2017-18",2018,2017,"New York Knicks",1.4,"42.1",8.2,"Shooting Guard"
"83","Daniel Theis","2018",1.349986,"theisda01",815615,"2017-18",2018,2017,"Boston Celtics",1,"54.5",5.5,"Center"
"84","Danilo Gallinari","2018",1.315486,"gallida01",20559599,"2017-18",2018,2017,"Los Angeles Clippers",2,"42.5",15.9,"Small Forward and Shooting Guard and Power Forward"
"85","Danny Green","2018",1.523926,"greenda02",1e+07,"2017-18",2018,2017,"San Antonio Spurs",1.6,"42.4",9,"Shooting Guard"
"86","Dante Cunningham","2018",-1.397524,"cunnida01",2300000,"2017-18",2018,2017,"Brooklyn Nets",0.7,"46.9",5.8,"Power Forward and Small Forward"
"87","Dante Exum","2018",4.815247,"exumda01",4992385,"2017-18",2018,2017,"Utah Jazz",2.3,"40.0",5.9,"Point Guard"
"88","Dario Saric","2018",-0.0973993,"saricda01",2422560,"2017-18",2018,2017,"Philadelphia 76ers",2.1,"43.3",12.7,"Power Forward"
"89","Darius Miller","2018",0.19576,"milleda01",2100000,"2017-18",2018,2017,"New Orleans Pelicans",1.4,"41.8",6,"Small Forward"
"90","Darrell Arthur","2018",-3.631139,"arthuda01",7464912,"2017-18",2018,2017,"Denver Nuggets",0.8,"44.4",6.5,"Small Forward and Power Forward"
"91","Darren Collison","2018",-0.1308513,"collida01",1e+07,"2017-18",2018,2017,"Indiana Pacers",5,"47.1",12.5,"Point Guard"
"92","David Nwaba","2018",-2.361603,"nwabada01",1312611,"2017-18",2018,2017,"Chicago Bulls",1.2,"49.0",7.2,"Shooting Guard"
"93","David Stockton","2018",-1.971419,"stockda01",192813,"2017-18",2018,2017,"Utah Jazz",1.5,"44.4",3,"Point Guard"
"94","David West","2018",3.34797,"westda01",1471382,"2017-18",2018,2017,"Golden State Warriors",2.2,"49.5",13.6,"Small Forward and Center and Power Forward"
"95","Davis Bertans","2018",2.170558,"bertada01",1312611,"2017-18",2018,2017,"San Antonio Spurs",1,"44.4",6.2,"Power Forward"
"96","Davon Reed","2018",-0.7809126,"reedda01",815615,"2017-18",2018,2017,"Phoenix Suns",0.5,"30.7",2.4,"Shooting Guard"
"97","De'Aaron Fox","2018",-0.4733806,"foxde01",4609200,"2017-18",2018,2017,"Sacramento Kings",5.9,"43.9",14.6,"Point Guard"
"98","DeAndre Jordan","2018",0.5483887,"jordade01",22642350,"2017-18",2018,2017,"Los Angeles Clippers",0.9,"67.0",9.6,"Center"
"99","DeAndre Liggins","2018",-2.919715,"liggide01",26773,"2017-18",2018,2017,"Atlanta Hawks",0.7,"40.2",2,"Shooting Guard and Small Forward"
"100","DeAndre Liggins","2018",-2.919715,"liggide01",757427,"2017-18",2018,2017,"Milwaukee Bucks",0.7,"40.2",2,"Shooting Guard and Small Forward"
"101","DeAndre Liggins","2018",-2.919715,"liggide01",754378,"2017-18",2018,2017,"New Orleans Pelicans",0.7,"40.2",2,"Shooting Guard and Small Forward"
"102","DeAndre' Bembry","2018",-1.866463,"bembrde01",1567200,"2017-18",2018,2017,"Atlanta Hawks",1.9,"44.5",6.3,"Shooting Guard and Small Forward"
"103","Dejounte Murray","2018",-0.3437103,"murrade01",1312611,"2017-18",2018,2017,"San Antonio Spurs",2.3,"44.1",6.6,"Point Guard"
"104","Delon Wright","2018",1.128701,"wrighde01",1645200,"2017-18",2018,2017,"Toronto Raptors",2.7,"44.5",7.4,"Point Guard"
"105","DeMar DeRozan","2018",-0.5948776,"derozde01",27739975,"2017-18",2018,2017,"Toronto Raptors",3.4,"45.1",19.9,"Shooting Guard"
"106","DeMarcus Cousins","2018",0.6246805,"couside01",18063850,"2017-18",2018,2017,"New Orleans Pelicans",3.2,"46.1",21.2,"Center"
"107","DeMarre Carroll","2018",0.0320733,"carrode01",14800000,"2017-18",2018,2017,"Brooklyn Nets",1.3,"43.0",9.1,"Small Forward and Power Forward"
"108","Dennis Schroder","2018",-1.560584,"schrode01",15500000,"2017-18",2018,2017,"Atlanta Hawks",4.6,"43.0",13.4,"Point Guard"
"109","Dennis Smith Jr.","2018",-0.842388,"smithde03",3218280,"2017-18",2018,2017,"Dallas Mavericks",5,"40.7",14.5,"Point Guard"
"110","Denzel Valentine","2018",-1.20557,"valende01",2186400,"2017-18",2018,2017,"Chicago Bulls",2.3,"39.9",8,"Shooting Guard"
"111","Derrick Favors","2018",1.678385,"favorde01",1.2e+07,"2017-18",2018,2017,"Utah Jazz",1.1,"52.5",11.6,"Center and Power Forward"
"112","Derrick Rose","2018",-1.259936,"rosede01",290951,"2017-18",2018,2017,"Minnesota Timberwolves",5.6,"45.3",18.8,"Point Guard"
"113","Derrick Rose","2018",-1.259936,"rosede01",1356709,"2017-18",2018,2017,"Cleveland Cavaliers",5.6,"45.3",18.8,"Point Guard"
"114","Derrick Rose","2018",-1.259936,"rosede01",749761,"2017-18",2018,2017,"Utah Jazz",5.6,"45.3",18.8,"Point Guard"
"115","Derrick White","2018",6.031082,"whitede01",1404600,"2017-18",2018,2017,"San Antonio Spurs",3.2,"47.9",8.5,"Point Guard"
"116","Derrick Williams","2018",3.019094,"willide02",83129,"2017-18",2018,2017,"Los Angeles Lakers",0.7,"43.4",8.9,"Power Forward and Small Forward"
"117","Devin Booker","2018",-0.686275,"bookede01",2319360,"2017-18",2018,2017,"Phoenix Suns",4.2,"43.7",21.4,"Shooting Guard"
"118","Devin Harris","2018",-0.634656,"harride01",4402546,"2017-18",2018,2017,"Denver Nuggets",3.9,"43.2",10.8,"Point Guard and Shooting Guard"
"119","Dewayne Dedmon","2018",0.5730131,"dedmode01",6e+06,"2017-18",2018,2017,"Atlanta Hawks",0.7,"53.3",6.5,"Center"
"120","Deyonta Davis","2018",-0.7312679,"davisde01",1312611,"2017-18",2018,2017,"Memphis Grizzlies",0.4,"59.9",4.2,"Center"
"121","Dillon Brooks","2018",-1.21721,"brookdi01",815615,"2017-18",2018,2017,"Memphis Grizzlies",1.5,"43.5",10.3,"Small Forward"
"122","Dion Waiters","2018",-0.7879786,"waitedi01",1.1e+07,"2017-18",2018,2017,"Miami Heat",2.8,"41.2",13.2,"Shooting Guard"
"123","Dirk Nowitzki","2018",-0.2353613,"nowitdi01",5e+06,"2017-18",2018,2017,"Dallas Mavericks",2.4,"47.1",20.7,"Power Forward and Center"
"124","Domantas Sabonis","2018",0.6226928,"sabondo01",2550000,"2017-18",2018,2017,"Indiana Pacers",1.9,"51.3",10.4,"Center and Power Forward"
"125","Donovan Mitchell","2018",1.105508,"mitchdo01",2621280,"2017-18",2018,2017,"Utah Jazz",3.9,"43.4",22.1,"Shooting Guard"
"126","Dorian Finney-Smith","2018",-0.740273,"finnedo01",1312611,"2017-18",2018,2017,"Dallas Mavericks",1,"40.5",5.9,"Small Forward and Power Forward"
"127","Doug McDermott","2018",0.675782,"mcderdo01",3294994,"2017-18",2018,2017,"Dallas Mavericks",0.8,"45.9",7.8,"Small Forward"
"128","Dragan Bender","2018",0.4343097,"bendedr01",4468800,"2017-18",2018,2017,"Phoenix Suns",1.2,"39.4",5.3,"Power Forward"
"129","Draymond Green","2018",2.249488,"greendr01",16400000,"2017-18",2018,2017,"Golden State Warriors",4.9,"43.9",9.1,"Small Forward and Power Forward"
"130","Dwayne Bacon","2018",0.5235469,"bacondw01",815615,"2017-18",2018,2017,"Charlotte Hornets",0.9,"43.2",5.1,"Shooting Guard"
"131","Dwight Buycks","2018",0.3378911,"buyckdw01",748160,"2017-18",2018,2017,"Detroit Pistons",1.7,"40.2",6.3,"Point Guard"
"132","Dwight Howard","2018",-0.1855192,"howardw01",23500000,"2017-18",2018,2017,"Charlotte Hornets",1.5,"58.3",17.4,"Power Forward and Center"
"133","Dwight Powell","2018",0.8911924,"poweldw01",9003125,"2017-18",2018,2017,"Dallas Mavericks",0.9,"55.3",7.5,"Power Forward and Center"
"134","Dwyane Wade","2018",1.354825,"wadedw01",15550000,"2017-18",2018,2017,"Chicago Bulls",5.4,"48.0",22,"Point Guard and Shooting Guard"
"135","Dwyane Wade","2018",1.354825,"wadedw01",1471382,"2017-18",2018,2017,"Miami Heat",5.4,"48.0",22,"Point Guard and Shooting Guard"
"136","E'Twaun Moore","2018",-0.8450288,"mooreet01",8445024,"2017-18",2018,2017,"New Orleans Pelicans",1.8,"45.8",8,"Point Guard and Shooting Guard"
"137","Ed Davis","2018",0.4917071,"davised01",6352531,"2017-18",2018,2017,"Portland Trail Blazers",0.8,"56.9",6.5,"Center and Power Forward"
"138","Ekpe Udoh","2018",2.166296,"udohek01",3200000,"2017-18",2018,2017,"Utah Jazz",0.7,"45.3",3.5,"Power Forward and Center"
"139","Elfrid Payton","2018",-1.121584,"paytoel01",3332340,"2017-18",2018,2017,"Phoenix Suns",6.6,"45.4",11.1,"Point Guard"
"140","Emeka Okafor","2018",1.689047,"okafoem01",774914,"2017-18",2018,2017,"New Orleans Pelicans",0.8,"51.2",12,"Power Forward and Center"
"141","Emmanuel Mudiay","2018",-1.878268,"mudiaem01",3381480,"2017-18",2018,2017,"New York Knicks",4.2,"39.3",11.8,"Point Guard"
"142","Enes Kanter","2018",-0.8234624,"kanteen01",20566802,"2017-18",2018,2017,"New York Knicks",0.8,"54.1",11.9,"Center"
"143","Eric Bledsoe","2018",0.0168045,"bledser01",14500000,"2017-18",2018,2017,"Milwaukee Bucks",4.8,"45.5",14.1,"Point Guard"
"144","Eric Gordon","2018",0.4217282,"gordoer01",12943020,"2017-18",2018,2017,"Houston Rockets",2.9,"42.8",16.7,"Shooting Guard and Point Guard"
"145","Eric Moreland","2018",1.258604,"moreler01",1739333,"2017-18",2018,2017,"Detroit Pistons",1,"53.7",1.9,"Power Forward"
"146","Ersan Ilyasova","2018",0.84003,"ilyaser01",357454,"2017-18",2018,2017,"Philadelphia 76ers",1.1,"44.3",10.6,"Power Forward"
"147","Ersan Ilyasova","2018",0.84003,"ilyaser01",5434282,"2017-18",2018,2017,"Atlanta Hawks",1.1,"44.3",10.6,"Power Forward"
"148","Evan Fournier","2018",-1.311648,"fournev01",1.7e+07,"2017-18",2018,2017,"Orlando Magic",2.5,"44.6",13.5,"Small Forward and Shooting Guard"
"149","Evan Turner","2018",0.9081523,"turneev01",17131148,"2017-18",2018,2017,"Portland Trail Blazers",3.5,"43.5",9.9,"Small Forward and Shooting Guard and Point Guard"
"150","Frank Kaminsky","2018",-1.417517,"kaminfr01",2847600,"2017-18",2018,2017,"Charlotte Hornets",1.6,"41.9",9.8,"Center and Power Forward"
"151","Frank Ntilikina","2018",1.805818,"ntilila01",3501120,"2017-18",2018,2017,"New York Knicks",3.1,"35.4",5.9,"Point Guard"
"152","Fred VanVleet","2018",0.4149565,"vanvlfr01",1312611,"2017-18",2018,2017,"Toronto Raptors",3.3,"41.2",8.3,"Point Guard"
"153","Furkan Korkmaz","2018",-8.236812,"korkmfu01",1465920,"2017-18",2018,2017,"Philadelphia 76ers",0.9,"38.8",4.9,"Shooting Guard"
"154","Garrett Temple","2018",-0.1669664,"templga01",8e+06,"2017-18",2018,2017,"Sacramento Kings",1.6,"40.8",5.9,"Point Guard and Small Forward and Shooting Guard"
"155","Gary Harris","2018",-0.4399064,"harriga01",2550055,"2017-18",2018,2017,"Denver Nuggets",2.1,"46.0",12.4,"Shooting Guard"
"156","George Hill","2018",-0.4481376,"hillge01",2e+07,"2017-18",2018,2017,"Cleveland Cavaliers",3.2,"45.3",11.2,"Point Guard"
"157","Georgios Papagiannis","2018",-5.565267,"papagge01",2301360,"2017-18",2018,2017,"Sacramento Kings",0.7,"51.4",4.1,"Center"
"158","Georgios Papagiannis","2018",-5.565267,"papagge01",259556,"2017-18",2018,2017,"Portland Trail Blazers",0.7,"51.4",4.1,"Center"
"159","Gerald Green","2018",-0.2401637,"greenge01",872854,"2017-18",2018,2017,"Houston Rockets",0.9,"41.7",9.7,"Shooting Guard and Small Forward"
"160","Giannis Antetokounmpo","2018",1.455025,"antetgi01",22471910,"2017-18",2018,2017,"Milwaukee Bucks",4.1,"52.1",18.8,"Point Guard and Power Forward and Small Forward and Shooting Guard"
"161","Glenn Robinson III","2018",-0.5962274,"robingl02",1524305,"2017-18",2018,2017,"Indiana Pacers",0.6,"43.9",4.4,"Shooting Guard and Small Forward"
"162","Goran Dragic","2018",1.066044,"dragigo01",17000450,"2017-18",2018,2017,"Miami Heat",4.8,"46.6",13.7,"Point Guard and Shooting Guard"
"163","Gordon Hayward","2018",-11.75368,"haywago01",29727900,"2017-18",2018,2017,"Boston Celtics",3.4,"44.6",15.1,"Power Forward and Small Forward"
"164","Gorgui Dieng","2018",-0.9577656,"dienggo01",14112360,"2017-18",2018,2017,"Minnesota Timberwolves",1.4,"50.5",8,"Center and Power Forward"
"165","Greg Monroe","2018",-1.003453,"monrogr01",16384175,"2017-18",2018,2017,"Phoenix Suns",2.1,"51.4",13.2,"Power Forward and Center"
"166","Greg Monroe","2018",-1.003453,"monrogr01",5e+06,"2017-18",2018,2017,"Boston Celtics",2.1,"51.4",13.2,"Power Forward and Center"
"167","Guerschon Yabusele","2018",-3.60828,"yabusgu01",2247480,"2017-18",2018,2017,"Boston Celtics",0.4,"44.2",2.3,"Power Forward"
"168","Harrison Barnes","2018",0.0704298,"barneha02",23112004,"2017-18",2018,2017,"Dallas Mavericks",1.5,"44.6",13.6,"Power Forward and Small Forward"
"169","Hassan Whiteside","2018",1.220021,"whiteha01",23775506,"2017-18",2018,2017,"Miami Heat",0.6,"57.4",13.4,"Center"
"170","Henry Ellenson","2018",-1.887109,"ellenhe01",1780800,"2017-18",2018,2017,"Detroit Pistons",0.6,"37.7",4.3,"Power Forward"
"171","Ian Clark","2018",1.618428,"clarkia01",1471382,"2017-18",2018,2017,"New Orleans Pelicans",1.2,"43.9",5.6,"Shooting Guard"
"172","Ian Mahinmi","2018",1.520338,"mahinia01",16661641,"2017-18",2018,2017,"Washington Wizards",0.5,"53.7",5,"Center"
"173","Ike Anigbogu","2018",-5.899507,"anigbik01",950000,"2017-18",2018,2017,"Indiana Pacers",0.1,"33.3",0.9,"Center"
"174","Iman Shumpert","2018",-2.751817,"shumpim01",10337079,"2017-18",2018,2017,"Sacramento Kings",1.9,"39.3",7.3,"Shooting Guard and Point Guard"
"175","Isaiah Canaan","2018",0.7217466,"canaais01",2e+05,"2017-18",2018,2017,"Chicago Bulls",1.9,"37.1",8.1,"Shooting Guard and Point Guard"
